Price,ID_Ber,Bed,Bath,m²,ID_Type,ID_Location_Number,Type,Region,Location_,Ber,Region_ID
845000,1,4,2,155,1,1,Semi-D,Co. Dublin,Co. Dublin - Stillorgan,ber/D2,3
1295000,2,4,3,173,2,2,Detached,Co. Dublin,Co. Dublin - Mount Merrion,ber/B3,3
850000,3,3,2,140,3,3,Apartment,South,Dublin 2,ber/B2,2
795000,4,3,1,101,1,1,Semi-D,Co. Dublin,Co. Dublin - Stillorgan,ber/C3,3
1950000,5,4,3,236,2,4,Detached,Co. Dublin,Co. Dublin - Blackrock,ber/SI_666,3
1500000,6,4,4,201,2,5,Detached,South,Dublin 16,ber/A2,2
1025000,1,5,3,188,2,4,Detached,Co. Dublin,Co. Dublin - Blackrock,ber/D2,3
875000,6,3,3,112,1,6,Semi-D,Co. Dublin,Co. Dublin - Monkstown,ber/A2,3
1595000,3,4,3,245,1,7,Semi-D,South,Dublin 14,ber/B2,2
895000,7,3,2,143,4,4,Bungalow,Co. Dublin,Co. Dublin - Blackrock,ber/C2,3
1350000,6,4,4,192,1,6,Semi-D,Co. Dublin,Co. Dublin - Monkstown,ber/A2,3
725000,4,3,2,96,5,6,End of Terrace,Co. Dublin,Co. Dublin - Monkstown,ber/C3,3
650000,8,4,1,101,1,4,Semi-D,Co. Dublin,Co. Dublin - Blackrock,ber/G,3
895000,3,2,2,98,6,8,Terrace,South,Dublin 4,ber/B2,2
995000,6,5,4,215,1,9,Semi-D,North,Dublin 15,ber/A2,1
850000,9,2,2,94,3,8,Apartment,South,Dublin 4,ber/B1,2
1495000,5,4,5,227,6,10,Terrace,South,Dublin 8,ber/SI_666,2
2750000,10,4,4,329,2,8,Detached,South,Dublin 4,ber/D1,2
1195000,1,5,2,189,2,11,Detached,Co. Dublin,Co. Dublin - Killiney,ber/D2,3
845000,1,4,2,155,1,1,Semi-D,Co. Dublin,Co. Dublin - Stillorgan,ber/D2,3
1050000,2,4,2,180,1,4,Semi-D,Co. Dublin,Co. Dublin - Blackrock,ber/B3,3
1975000,9,4,5,244,2,4,Detached,Co. Dublin,Co. Dublin - Blackrock,ber/B1,3
2100000,7,4,3,243,2,12,Detached,North,Dublin 3,ber/C2,1
825000,6,4,4,147,2,13,Detached,South,Dublin 12,ber/A2,2
850000,1,4,1,130,1,4,Semi-D,Co. Dublin,Co. Dublin - Blackrock,ber/D2,3
1200000,4,5,3,215,2,14,Detached,South,Dublin 18,ber/C3,2
1695000,7,4,4,290,2,8,Detached,South,Dublin 4,ber/C2,2
695000,2,3,2,150,3,5,Apartment,South,Dublin 16,ber/B3,2
995000,11,5,5,197,1,16,Semi-D,Co. Dublin,Co. Dublin - Booterstown,ber/E1,3
475000,7,2,2,65,3,3,Apartment,South,Dublin 2,ber/C2,2
1400000,12,3,2,168,2,7,Detached,South,Dublin 14,ber/A3,2
1275000,2,5,4,410,2,17,Detached,Co. Dublin,Co. Dublin - Ballyboughal,ber/B3,3
890000,13,4,2,161,1,7,Semi-D,South,Dublin 14,ber/F,2
1750000,5,3,3,195,6,3,Terrace,South,Dublin 2,ber/SI_666,2
795000,10,3,2,86,5,16,End of Terrace,Co. Dublin,Co. Dublin - Booterstown,ber/D1,3
2690000,2,7,6,910,2,19,Detached,Co. Dublin,Co. Dublin - Rathmichael,ber/B3,3
995000,10,6,5,203,2,14,Detached,South,Dublin 18,ber/D1,2
635000,6,4,3,145,2,20,Detached,Co. Dublin,Co. Dublin - Swords,ber/A2,3
850000,14,3,2,86,3,10,Apartment,South,Dublin 8,ber/C1,2
995000,2,3,3,117,2,21,Detached,South,Dublin 6,ber/B3,2
1890000,6,5,4,260,2,22,Detached,Co. Dublin,Co. Dublin - Malahide,ber/A2,3
1500000,9,3,2,168,5,24,End of Terrace,Co. Dublin,Co. Dublin - Dalkey,ber/B1,3
575000,12,4,3,132,1,5,Semi-D,South,Dublin 16,ber/A3,2
1995000,13,6,2,393,1,25,Semi-D,Co. Dublin,Co. Dublin - Sandycove,ber/F,3
1395000,2,5,3,170,2,4,Detached,Co. Dublin,Co. Dublin - Blackrock,ber/B3,3
995000,11,3,3,135,4,12,Bungalow,North,Dublin 3,ber/E1,1
1400000,13,5,2,272,2,5,Detached,South,Dublin 16,ber/F,2
1750000,5,3,3,195,6,3,Terrace,South,Dublin 2,ber/SI_666,2
1000000,8,4,2,163,2,22,Detached,Co. Dublin,Co. Dublin - Malahide,ber/G,3
730000,10,5,2,134,1,11,Semi-D,Co. Dublin,Co. Dublin - Killiney,ber/D1,3
1950000,3,4,4,238,1,26,Semi-D,North,Dublin 9,ber/B2,1
800000,4,5,2,159,1,23,Semi-D,Co. Dublin,Co. Dublin - Glenageary,ber/C3,3
1795000,4,5,4,326,2,7,Detached,South,Dublin 14,ber/C3,2
1000000,8,4,2,163,2,22,Detached,Co. Dublin,Co. Dublin - Malahide,ber/G,3
445000,2,3,3,92,6,9,Terrace,North,Dublin 15,ber/B3,1
550000,13,3,2,96,5,21,End of Terrace,South,Dublin 6,ber/F,2
1300000,14,5,5,212,2,14,Detached,South,Dublin 18,ber/C1,2
475000,14,4,3,128,1,9,Semi-D,North,Dublin 15,ber/C1,1
875000,1,4,2,130,2,27,Detached,North,Dublin 13,ber/D2,1
495000,1,4,1,106,1,28,Semi-D,North,Dublin 11,ber/D2,1
475000,5,3,3,100,6,29,Terrace,Co. Dublin,Co. Dublin - Lucan,ber/SI_666,3
1500000,7,5,3,232,2,12,Detached,North,Dublin 3,ber/C2,1
785000,12,3,2,98,5,8,End of Terrace,South,Dublin 4,ber/A3,2
1750000,2,5,3,295,1,14,Semi-D,South,Dublin 18,ber/B3,2
495000,1,3,2,90,1,29,Semi-D,Co. Dublin,Co. Dublin - Lucan,ber/D2,3
395000,5,2,1,50,3,8,Apartment,South,Dublin 4,ber/SI_666,2
